,Run,run_length,runner_up_highest,standard_lowest,standard_reached,num_agents,num_edges,num_variants,link_generator,variant_exchange,multiplexity_range
0,0,2962,701.0,166.0,True,1000,1,5,<__main__.HolmeKimNetwork object at 0x7fc1b5762d68>,<__main__.MultiplexPowerVariantExchange object at 0x7fc1b57629b0>,"[1, 3]"
1,1,524,435.0,175.0,True,1000,1,5,<__main__.HolmeKimNetwork object at 0x7fc1b5762d68>,<__main__.MultiplexPowerVariantExchange object at 0x7fc1b57629b0>,"[1, 3]"
2,2,5000,,,False,1000,1,5,<__main__.HolmeKimNetwork object at 0x7fc1b5762d68>,<__main__.MultiplexPowerVariantExchange object at 0x7fc1b57629b0>,"[1, 3]"
3,3,631,375.0,160.0,True,1000,1,5,<__main__.HolmeKimNetwork object at 0x7fc1b5762d68>,<__main__.MultiplexPowerVariantExchange object at 0x7fc1b57629b0>,"[1, 3]"
4,4,966,334.0,176.0,True,1000,1,5,<__main__.HolmeKimNetwork object at 0x7fc1b5762d68>,<__main__.MultiplexPowerVariantExchange object at 0x7fc1b57629b0>,"[1, 3]"
5,5,2002,786.0,101.0,True,1000,1,5,<__main__.HolmeKimNetwork object at 0x7fc1b5762d68>,<__main__.MultiplexPowerVariantExchange object at 0x7fc1b57629b0>,"[1, 3]"
6,6,437,382.0,193.0,True,1000,1,5,<__main__.HolmeKimNetwork object at 0x7fc1b5762d68>,<__main__.MultiplexPowerVariantExchange object at 0x7fc1b57629b0>,"[1, 3]"
7,7,1063,562.0,122.0,True,1000,1,5,<__main__.HolmeKimNetwork object at 0x7fc1b5762d68>,<__main__.MultiplexPowerVariantExchange object at 0x7fc1b57629b0>,"[1, 3]"
8,8,1168,482.0,183.0,True,1000,1,5,<__main__.HolmeKimNetwork object at 0x7fc1b5762d68>,<__main__.MultiplexPowerVariantExchange object at 0x7fc1b57629b0>,"[1, 3]"
9,9,3781,809.0,44.0,True,1000,1,5,<__main__.HolmeKimNetwork object at 0x7fc1b5762d68>,<__main__.MultiplexPowerVariantExchange object at 0x7fc1b57629b0>,"[1, 3]"
10,10,1383,540.0,207.0,True,1000,1,5,<__main__.HolmeKimNetwork object at 0x7fc1b5762d68>,<__main__.MultiplexPowerVariantExchange object at 0x7fc1b57629b0>,"[1, 3]"
11,11,3025,869.0,131.0,True,1000,1,5,<__main__.HolmeKimNetwork object at 0x7fc1b5762d68>,<__main__.MultiplexPowerVariantExchange object at 0x7fc1b57629b0>,"[1, 3]"
