,Run,run_length,runner_up_highest,standard_lowest,standard_reached,num_agents,num_edges,num_variants,link_generator,variant_exchange,multiplexity_range
0,0,4824,793.0,155.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
1,1,1888,498.0,144.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
2,2,5000,,,False,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
3,3,3042,470.0,127.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
4,4,2161,422.0,145.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
5,5,2178,433.0,110.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
6,6,5000,,,False,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
7,7,3870,507.0,61.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
8,8,2599,343.0,167.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
9,9,2737,672.0,107.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
10,10,4096,587.0,169.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
11,11,2506,612.0,206.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
12,12,4628,487.0,87.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
13,13,2553,453.0,129.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
14,14,2127,422.0,173.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
15,15,3863,702.0,8.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
16,16,5000,,,False,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
17,17,4361,635.0,129.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
18,18,5000,,,False,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
19,19,4542,913.0,87.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
20,20,1281,502.0,160.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
