,Run,run_length,runner_up_highest,standard_lowest,standard_reached,num_agents,num_edges,num_variants,link_generator,variant_exchange,multiplexity_range
0,0,1885,647.0,118.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.MultiplexPowerVariantExchange object at 0x7f8898115e10>,"[1, 3]"
1,1,1002,447.0,159.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.MultiplexPowerVariantExchange object at 0x7f8898115e10>,"[1, 3]"
2,2,682,365.0,188.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.MultiplexPowerVariantExchange object at 0x7f8898115e10>,"[1, 3]"
3,3,2128,828.0,172.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.MultiplexPowerVariantExchange object at 0x7f8898115e10>,"[1, 3]"
4,4,3297,707.0,22.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.MultiplexPowerVariantExchange object at 0x7f8898115e10>,"[1, 3]"
5,5,1232,766.0,118.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.MultiplexPowerVariantExchange object at 0x7f8898115e10>,"[1, 3]"
6,6,2264,650.0,59.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.MultiplexPowerVariantExchange object at 0x7f8898115e10>,"[1, 3]"
7,7,1272,401.0,169.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.MultiplexPowerVariantExchange object at 0x7f8898115e10>,"[1, 3]"
8,8,4306,949.0,24.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.MultiplexPowerVariantExchange object at 0x7f8898115e10>,"[1, 3]"
9,9,1233,349.0,143.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.MultiplexPowerVariantExchange object at 0x7f8898115e10>,"[1, 3]"
10,10,3509,955.0,45.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.MultiplexPowerVariantExchange object at 0x7f8898115e10>,"[1, 3]"
11,11,940,498.0,145.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.MultiplexPowerVariantExchange object at 0x7f8898115e10>,"[1, 3]"
12,12,3723,774.0,123.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.MultiplexPowerVariantExchange object at 0x7f8898115e10>,"[1, 3]"
13,13,1099,554.0,102.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.MultiplexPowerVariantExchange object at 0x7f8898115e10>,"[1, 3]"
14,14,1691,541.0,32.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.MultiplexPowerVariantExchange object at 0x7f8898115e10>,"[1, 3]"
15,15,895,538.0,207.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.MultiplexPowerVariantExchange object at 0x7f8898115e10>,"[1, 3]"
16,16,1903,554.0,148.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.MultiplexPowerVariantExchange object at 0x7f8898115e10>,"[1, 3]"
17,17,2145,466.0,184.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.MultiplexPowerVariantExchange object at 0x7f8898115e10>,"[1, 3]"
18,18,2256,780.0,115.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.MultiplexPowerVariantExchange object at 0x7f8898115e10>,"[1, 3]"
19,19,1684,623.0,39.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.MultiplexPowerVariantExchange object at 0x7f8898115e10>,"[1, 3]"
20,20,1600,448.0,184.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.MultiplexPowerVariantExchange object at 0x7f8898115e10>,"[1, 3]"
21,21,1037,648.0,167.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.MultiplexPowerVariantExchange object at 0x7f8898115e10>,"[1, 3]"
22,22,3530,986.0,14.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.MultiplexPowerVariantExchange object at 0x7f8898115e10>,"[1, 3]"
23,23,4238,989.0,11.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.MultiplexPowerVariantExchange object at 0x7f8898115e10>,"[1, 3]"
24,24,2027,632.0,26.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.MultiplexPowerVariantExchange object at 0x7f8898115e10>,"[1, 3]"
25,25,1162,542.0,182.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.MultiplexPowerVariantExchange object at 0x7f8898115e10>,"[1, 3]"
26,26,2735,575.0,210.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.MultiplexPowerVariantExchange object at 0x7f8898115e10>,"[1, 3]"
27,27,1647,696.0,140.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.MultiplexPowerVariantExchange object at 0x7f8898115e10>,"[1, 3]"
